#x dx y dy
118.057 0.001 0.286 0.015
118.148 0.001 0.285 0.015
118.148 0.001 0.286 0.015
118.148 0.001 0.286 0.015
118.148 0.001 0.287 0.015
118.238 0.001 0.286 0.015
118.238 0.001 0.286 0.015
118.238 0.001 0.286 0.015
118.238 0.001 0.286 0.015
118.238 0.001 0.286 0.015
118.238 0.001 0.286 0.015
118.238 0.001 0.286 0.015
118.329 0.001 0.287 0.015
118.329 0.001 0.286 0.015
118.329 0.001 0.286 0.015
118.329 0.001 0.287 0.015
118.419 0.001 0.286 0.015
118.419 0.001 0.287 0.015
118.509 0.001 0.286 0.015
118.509 0.001 0.287 0.015
118.509 0.001 0.288 0.015
118.509 0.001 0.288 0.015
118.509 0.001 0.288 0.015
118.6 0.001 0.286 0.015
118.6 0.001 0.286 0.015
118.6 0.001 0.287 0.015
118.6 0.001 0.287 0.015
118.6 0.001 0.287 0.015
118.6 0.001 0.287 0.015
118.6 0.001 0.287 0.015
118.6 0.001 0.287 0.015
118.6 0.001 0.288 0.015
118.6 0.001 0.288 0.015
118.6 0.001 0.288 0.015
118.6 0.001 0.288 0.015
118.69 0.001 0.287 0.015
118.69 0.001 0.287 0.015
118.69 0.001 0.288 0.015
118.69 0.001 0.288 0.015
118.69 0.001 0.288 0.015
118.69 0.001 0.288 0.015
118.78 0.001 0.287 0.015
118.78 0.001 0.288 0.015
118.78 0.001 0.288 0.015
118.87 0.001 0.288 0.015
118.87 0.001 0.288 0.015
118.87 0.001 0.288 0.015
118.87 0.001 0.288 0.015
118.87 0.001 0.288 0.015
118.87 0.001 0.289 0.015
118.87 0.001 0.288 0.015
118.961 0.001 0.288 0.015
118.961 0.001 0.288 0.015
118.961 0.001 0.288 0.015
118.961 0.001 0.288 0.015
119.051 0.001 0.288 0.015
119.051 0.001 0.287 0.015
119.051 0.001 0.287 0.015
119.141 0.001 0.288 0.015
119.141 0.001 0.288 0.015
119.141 0.001 0.288 0.015
119.141 0.001 0.287 0.015
119.141 0.001 0.287 0.015
119.141 0.001 0.287 0.015
119.141 0.001 0.287 0.015
119.231 0.001 0.288 0.015
119.231 0.001 0.288 0.015
119.231 0.001 0.287 0.015
119.321 0.001 0.287 0.015
119.321 0.001 0.287 0.015
119.411 0.001 0.287 0.015
119.5 0.001 0.287 0.015
119.5 0.001 0.287 0.015
119.5 0.001 0.287 0.015
119.5 0.001 0.287 0.015
119.5 0.001 0.287 0.015
119.5 0.001 0.287 0.015
119.5 0.001 0.287 0.015
119.5 0.001 0.288 0.015
119.5 0.001 0.288 0.015
119.5 0.001 0.288 0.015
119.59 0.001 0.287 0.015
119.59 0.001 0.287 0.015
119.59 0.001 0.287 0.015
119.59 0.001 0.287 0.015
119.59 0.001 0.287 0.015
119.59 0.001 0.287 0.015
119.59 0.001 0.287 0.015
119.59 0.001 0.288 0.015
119.59 0.001 0.288 0.015
119.59 0.001 0.288 0.015
119.68 0.001 0.287 0.015
119.68 0.001 0.287 0.015
119.68 0.001 0.287 0.015
119.68 0.001 0.288 0.015
119.68 0.001 0.288 0.015
119.68 0.001 0.288 0.015
119.68 0.001 0.29 0.015
119.77 0.001 0.287 0.015
119.77 0.001 0.287 0.015
119.77 0.001 0.288 0.015
119.77 0.001 0.29 0.015
119.77 0.001 0.29 0.015
119.859 0.001 0.287 0.015
119.859 0.001 0.29 0.015
119.859 0.001 0.29 0.015
119.859 0.001 0.29 0.015
119.859 0.001 0.29 0.015
119.859 0.001 0.29 0.015
119.859 0.001 0.29 0.015
120.039 0.001 0.29 0.015
120.039 0.001 0.293 0.015
120.128 0.001 0.292 0.015
120.128 0.001 0.292 0.015
120.128 0.001 0.292 0.015
120.128 0.001 0.292 0.015
120.128 0.001 0.293 0.015
120.128 0.001 0.293 0.015
120.128 0.001 0.293 0.015
120.218 0.001 0.291 0.015
120.218 0.001 0.292 0.015
120.218 0.001 0.292 0.015
120.218 0.001 0.292 0.015
120.218 0.001 0.291 0.015
120.218 0.001 0.293 0.015
120.218 0.001 0.293 0.015
120.218 0.001 0.293 0.015
120.307 0.001 0.291 0.015
120.307 0.001 0.293 0.015
120.307 0.001 0.293 0.015
120.307 0.001 0.292 0.015
120.307 0.001 0.292 0.015
