#x dx y dy
115.042 0.001 0.233 0.015
115.042 0.001 0.232 0.015
115.042 0.001 0.233 0.015
115.042 0.001 0.233 0.015
115.134 0.001 0.232 0.015
115.134 0.001 0.251 0.015
115.134 0.001 0.251 0.015
115.134 0.001 0.257 0.015
115.134 0.001 0.257 0.015
115.226 0.001 0.242 0.015
115.226 0.001 0.242 0.015
115.226 0.001 0.242 0.015
115.226 0.001 0.242 0.015
115.226 0.001 0.242 0.015
115.226 0.001 0.251 0.015
115.226 0.001 0.251 0.015
115.226 0.001 0.251 0.015
115.226 0.001 0.251 0.015
115.226 0.001 0.251 0.015
115.226 0.001 0.257 0.015
115.226 0.001 0.256 0.015
115.226 0.001 0.256 0.015
115.226 0.001 0.257 0.015
115.318 0.001 0.242 0.015
115.318 0.001 0.242 0.015
115.318 0.001 0.242 0.015
115.318 0.001 0.243 0.015
115.318 0.001 0.251 0.015
115.318 0.001 0.257 0.015
115.318 0.001 0.256 0.015
115.41 0.001 0.242 0.015
115.41 0.001 0.251 0.015
115.41 0.001 0.251 0.015
115.41 0.001 0.257 0.015
115.41 0.001 0.262 0.015
115.502 0.001 0.262 0.015
115.502 0.001 0.262 0.015
115.502 0.001 0.262 0.015
115.502 0.001 0.262 0.015
115.502 0.001 0.262 0.015
115.502 0.001 0.262 0.015
115.502 0.001 0.262 0.015
115.502 0.001 0.266 0.015
115.594 0.001 0.257 0.015
115.594 0.001 0.262 0.015
115.686 0.001 0.262 0.015
115.686 0.001 0.266 0.015
115.777 0.001 0.265 0.015
115.777 0.001 0.265 0.015
115.777 0.001 0.266 0.015
115.777 0.001 0.266 0.015
115.869 0.001 0.266 0.015
115.869 0.001 0.269 0.015
115.869 0.001 0.269 0.015
115.869 0.001 0.269 0.015
115.961 0.001 0.266 0.015
115.961 0.001 0.266 0.015
115.961 0.001 0.266 0.015
115.961 0.001 0.269 0.015
116.053 0.001 0.269 0.015
116.053 0.001 0.269 0.015
116.053 0.001 0.269 0.015
116.053 0.001 0.27 0.015
116.053 0.001 0.271 0.015
116.053 0.001 0.271 0.015
116.053 0.001 0.271 0.015
116.053 0.001 0.271 0.015
116.144 0.001 0.269 0.015
116.144 0.001 0.269 0.015
116.144 0.001 0.271 0.015
116.144 0.001 0.271 0.015
116.144 0.001 0.271 0.015
116.144 0.001 0.27 0.015
116.144 0.001 0.273 0.015
116.144 0.001 0.272 0.015
116.144 0.001 0.272 0.015
116.144 0.001 0.273 0.015
116.144 0.001 0.273 0.015
116.236 0.001 0.269 0.015
116.236 0.001 0.272 0.015
116.236 0.001 0.273 0.015
116.236 0.001 0.272 0.015
116.236 0.001 0.273 0.015
116.236 0.001 0.274 0.015
116.236 0.001 0.274 0.015
116.236 0.001 0.274 0.015
116.236 0.001 0.274 0.015
116.236 0.001 0.274 0.015
116.236 0.001 0.274 0.015
116.236 0.001 0.274 0.015
116.327 0.001 0.271 0.015
116.327 0.001 0.273 0.015
116.327 0.001 0.274 0.015
116.51 0.001 0.274 0.015
116.51 0.001 0.274 0.015
116.51 0.001 0.277 0.015
116.51 0.001 0.277 0.015
116.51 0.001 0.277 0.015
116.51 0.001 0.277 0.015
116.51 0.001 0.277 0.015
116.51 0.001 0.277 0.015
116.602 0.001 0.277 0.015
116.602 0.001 0.28 0.015
116.602 0.001 0.28 0.015
116.693 0.001 0.277 0.015
116.693 0.001 0.277 0.015
116.693 0.001 0.277 0.015
116.693 0.001 0.279 0.015
116.693 0.001 0.279 0.015
116.693 0.001 0.279 0.015
116.693 0.001 0.279 0.015
116.693 0.001 0.279 0.015
116.693 0.001 0.28 0.015
116.693 0.001 0.28 0.015
116.693 0.001 0.28 0.015
116.693 0.001 0.28 0.015
116.693 0.001 0.282 0.015
116.784 0.001 0.279 0.015
116.784 0.001 0.279 0.015
116.784 0.001 0.279 0.015
116.784 0.001 0.279 0.015
116.784 0.001 0.279 0.015
116.784 0.001 0.28 0.015
116.784 0.001 0.28 0.015
116.784 0.001 0.28 0.015
116.784 0.001 0.28 0.015
116.784 0.001 0.282 0.015
116.784 0.001 0.282 0.015
116.784 0.001 0.282 0.015
116.875 0.001 0.282 0.015
116.875 0.001 0.282 0.015
116.875 0.001 0.283 0.015
116.967 0.001 0.282 0.015
116.967 0.001 0.282 0.015
116.967 0.001 0.282 0.015
116.967 0.001 0.282 0.015
116.967 0.001 0.283 0.015
116.967 0.001 0.283 0.015
116.967 0.001 0.283 0.015
116.967 0.001 0.283 0.015
117.058 0.001 0.283 0.015
