#Chart Recorder Data File Fri, Nov 10, 2017 12:19 PM
#CH1 (V)  	CH2 (V)  
-0.105750239	5.952302937
-0.103835189	5.950091406
-0.104154364	5.951987004
-0.104792714	5.949775473
-0.105111889	5.951355138
-0.104792714	5.950723272
-0.105111889	5.951671071
-0.104792714	5.950407339
-0.104792714	5.951355138
-0.104473539	5.950723272
-0.104154364	5.950407339
-0.104792714	5.950407339
-0.104473539	5.949775473
-0.104473539	5.950091406
-0.104792714	5.949459540
-0.104473539	5.950723272
-0.104154364	5.950723272
-0.104154364	5.949775473
-0.104154364	5.950723272
-0.104154364	5.948511741
-0.103835189	5.950723272
-0.104154364	5.949775473
-0.104473539	5.949775473
-0.104473539	5.949143607
-0.104473539	5.950723272
-0.104473539	5.948827674
-0.103516014	5.948511741
-0.103516014	5.949775473
-0.103196839	5.949459540
-0.104154364	5.949459540
-0.103516014	5.947879875
-0.104154364	5.948827674
-0.104154364	5.948511741
-0.104154364	5.948511741
-0.104154364	5.949143607
-0.104154364	5.948827674
-0.104154364	5.948827674
-0.103516014	5.948511741
-0.103516014	5.948511741
-0.104154364	5.948827674
-0.103516014	5.948827674
-0.104154364	5.948511741
-0.104473539	5.949143607
-0.104154364	5.947879875
-0.104473539	5.948195808
-0.104154364	5.948827674
-0.103196839	5.948511741
-0.103516014	5.947563942
-0.103196839	5.948511741
-0.103516014	5.947563942
-0.102558489	5.947879875
-0.102877664	5.947248009
-0.103196839	5.948511741
-0.103196839	5.947248009
-0.103196839	5.946616143
-0.103516014	5.947248009
-0.103196839	5.948195808
-0.104154364	5.949143607
-0.103516014	5.948827674
-0.103196839	5.948195808
-0.103196839	5.948511741
-0.103516014	5.948511741
-0.102877664	5.948827674
-0.103196839	5.947879875
-0.102877664	5.949143607
-0.102877664	5.948195808
-0.102239314	5.949459540
-0.102558489	5.949143607
-0.102877664	5.947563942
-0.103196839	5.948511741
-0.102877664	5.948827674
-0.103196839	5.948511741
-0.103196839	5.948195808
-0.103196839	5.949143607
-0.103516014	5.948195808
-0.103835189	5.948195808
-0.103196839	5.948511741
-0.102239314	5.949775473
-0.103196839	5.948195808
-0.102877664	5.948511741
-0.103196839	5.948195808
-0.103196839	5.949143607
-0.102558489	5.949143607
-0.103516014	5.947248009
-0.103196839	5.948827674
-0.102877664	5.948511741
-0.103196839	5.948195808
-0.102558489	5.947879875
-0.102558489	5.947879875
-0.103196839	5.947879875
-0.102239314	5.947563942
-0.102558489	5.947879875
-0.102877664	5.948511741
-0.103516014	5.946932076
-0.102877664	5.947563942
-0.102877664	5.947248009
-0.102877664	5.947879875
-0.103196839	5.947879875
-0.102877664	5.946932076
-0.102239314	5.947563942
-0.102877664	5.947879875
-0.102239314	5.946932076
-0.102239314	5.947563942
-0.102239314	5.947248009
-0.102239314	5.948195808
-0.101920139	5.945984277
-0.102239314	5.945984277
-0.102877664	5.945984277
-0.102558489	5.946932076
-0.102877664	5.946300210
-0.102239314	5.946616143
-0.103196839	5.944720545
-0.102239314	5.946616143
-0.102239314	5.947248009
-0.102239314	5.946300210
-0.101920139	5.946300210
-0.101600964	5.947563942
-0.102239314	5.947563942
-0.102239314	5.948511741
-0.101920139	5.946932076
-0.101920139	5.948195808
-0.101920139	5.948511741
-0.102558489	5.947879875
-0.102239314	5.948195808
-0.102239314	5.947563942
-0.102239314	5.947563942
-0.102239314	5.946616143
-0.101920139	5.946616143
-0.101920139	5.946932076
-0.101920139	5.946616143
-0.102239314	5.947563942
-0.101600964	5.946616143
-0.101920139	5.947563942
-0.101600964	5.946932076
-0.101600964	5.947563942
-0.101600964	5.946616143
-0.101600964	5.945984277
-0.101281789	5.946616143
-0.101600964	5.946300210
-0.100962614	5.946616143
-0.101281789	5.945984277
-0.100962614	5.945668344
-0.101600964	5.946932076
-0.101920139	5.945036478
-0.101920139	5.945352411
-0.101920139	5.945036478
-0.101281789	5.945036478
-0.101600964	5.945036478
-0.101600964	5.945352411
-0.101920139	5.944720545
-0.101600964	5.944720545
-0.102239314	5.944404612
-0.101920139	5.944720545
-0.101920139	5.944720545
-0.101920139	5.944088679
-0.101600964	5.944720545
-0.101920139	5.945036478
-0.101600964	5.945984277
-0.101920139	5.944720545
-0.101920139	5.945036478
-0.101920139	5.944720545
-0.101281789	5.944404612
-0.101920139	5.944720545
-0.101920139	5.945036478
-0.101600964	5.944404612
-0.101600964	5.944404612
-0.101281789	5.944088679
-0.101281789	5.944720545
-0.101600964	5.944720545
-0.101600964	5.944404612
-0.101920139	5.944720545
-0.101281789	5.944404612
-0.101281789	5.943772746
-0.101600964	5.944404612
-0.101600964	5.944088679
-0.101281789	5.944088679
-0.101600964	5.943772746
-0.100962614	5.943772746
-0.100962614	5.944088679
-0.100962614	5.944404612
-0.101281789	5.944088679
-0.101281789	5.943772746
-0.101281789	5.944088679
-0.101600964	5.943772746
-0.101281789	5.943456813
-0.101281789	5.944088679
-0.101600964	5.943456813
-0.101281789	5.943772746
-0.101281789	5.943456813
-0.101600964	5.943140880
-0.101281789	5.943456813
-0.101281789	5.943772746
-0.100324264	5.943456813
-0.100643439	5.943140880
-0.100643439	5.943140880
-0.100962614	5.943456813
-0.100005089	5.943772746
-0.100324264	5.943456813
-0.100643439	5.943456813
-0.100962614	5.943772746
-0.100643439	5.943772746
-0.100324264	5.943456813
-0.100324264	5.944404612
-0.100005089	5.943772746
-0.100324264	5.943772746
-0.101281789	5.943772746
-0.100962614	5.943456813
-0.100324264	5.943140880
-0.100643439	5.943456813
-0.100324264	5.943772746
-0.100324264	5.943456813
-0.100643439	5.943456813
-0.100324264	5.943456813
-0.100324264	5.943140880
-0.100324264	5.942824947
-0.100643439	5.943140880
-0.100643439	5.942824947
-0.100324264	5.942509014
-0.100962614	5.942193081
-0.100005089	5.942509014
-0.100324264	5.942824947
-0.100005089	5.942193081
-0.100324264	5.942824947
-0.100324264	5.942509014
-0.100324264	5.942509014
-0.100324264	5.942509014
-0.100005089	5.941245282
-0.100643439	5.941245282
-0.100005089	5.941245282
-0.100643439	5.941245282
-0.100324264	5.941245282
-0.100962614	5.941245282
-0.100324264	5.941245282
-0.100324264	5.940929349
-0.100005089	5.941245282
-0.100005089	5.940929349
-0.100005089	5.940613416
-0.100324264	5.940929349
-0.100324264	5.940613416
-0.100005089	5.941245282
-0.100962614	5.940929349
-0.099685914	5.941561215
-0.100643439	5.940929349
-0.100324264	5.940929349
-0.100005089	5.940929349
-0.100005089	5.941245282
-0.099366739	5.940613416
-0.099685914	5.941245282
-0.100324264	5.940929349
-0.099685914	5.939981550
-0.099685914	5.940929349
-0.100324264	5.940613416
-0.099685914	5.940613416
-0.100005089	5.940297483
-0.100005089	5.939981550
-0.099685914	5.940613416
-0.099685914	5.940297483
-0.099366739	5.940613416
-0.100005089	5.940613416
-0.099685914	5.940613416
-0.099685914	5.940297483
-0.099366739	5.940613416
-0.100005089	5.940929349
-0.099047564	5.939981550
-0.099047564	5.940297483
-0.098728389	5.940613416
-0.100324264	5.940613416
-0.100005089	5.939981550
-0.099685914	5.940613416
-0.098728389	5.939981550
-0.099366739	5.940297483
-0.099047564	5.939981550
-0.099366739	5.939981550
-0.099685914	5.940297483
-0.099047564	5.940297483
-0.100324264	5.939349684
-0.099047564	5.939665617
-0.099366739	5.939033751
-0.099047564	5.939981550
-0.098728389	5.939349684
-0.099366739	5.939349684
-0.100324264	5.939981550
-0.099047564	5.939349684
-0.099366739	5.939981550
-0.099366739	5.939981550
-0.099047564	5.939665617
-0.099047564	5.939349684
-0.099047564	5.938717818
-0.099366739	5.939349684
-0.099047564	5.938717818
-0.099047564	5.938401885
-0.099047564	5.939033751
-0.099366739	5.938401885
-0.099685914	5.939349684
-0.099047564	5.939349684
-0.099047564	5.939349684
-0.099047564	5.939349684
-0.099366739	5.939033751
-0.099047564	5.939349684
-0.099047564	5.939349684
-0.099047564	5.939033751
-0.099047564	5.938717818
-0.098728389	5.939665617
-0.099047564	5.938717818
-0.099366739	5.939033751
-0.099047564	5.939349684
-0.098409214	5.939665617
-0.098728389	5.939349684
-0.098409214	5.939033751
-0.099047564	5.939665617
-0.098728389	5.939349684
-0.098409214	5.939349684
-0.098409214	5.939349684
-0.099047564	5.939349684
-0.098090039	5.939349684
-0.098409214	5.939665617
-0.098728389	5.938717818
-0.098728389	5.939033751
-0.098090039	5.938717818
-0.099047564	5.939665617
-0.098409214	5.939033751
-0.098728389	5.938401885
-0.099047564	5.938717818
-0.098409214	5.939033751
-0.098728389	5.938401885
-0.099047564	5.938717818
-0.098090039	5.938717818
-0.097451689	5.939665617
-0.098090039	5.939033751
-0.098728389	5.939665617
-0.098090039	5.939349684
-0.098728389	5.939349684
-0.098090039	5.939033751
-0.098090039	5.939349684
-0.098728389	5.938717818
-0.098409214	5.938401885
-0.097451689	5.937770019
-0.098409214	5.937770019
-0.097770864	5.937770019
-0.097770864	5.938401885
-0.097770864	5.938085952
-0.098090039	5.937770019
-0.097770864	5.937770019
-0.097770864	5.938401885
-0.097451689	5.938085952
-0.097451689	5.938085952
-0.097132514	5.937138153
-0.097451689	5.937138153
-0.096813339	5.938401885
-0.098090039	5.938085952
-0.097770864	5.937454086
-0.097770864	5.938085952
-0.097451689	5.937138153
-0.098090039	5.938085952
-0.098090039	5.937770019
-0.098090039	5.938085952
-0.097770864	5.937138153
-0.097770864	5.936822220
-0.096813339	5.936822220
-0.096494164	5.936822220
-0.097451689	5.936822220
-0.097132514	5.936822220
-0.097451689	5.937138153
-0.097132514	5.936506287
-0.097770864	5.936822220
-0.097451689	5.937138153
-0.096494164	5.936190354
-0.096494164	5.936190354
-0.097451689	5.935874421
-0.097451689	5.935874421
-0.097770864	5.935558488
-0.097770864	5.935874421
-0.098090039	5.935558488
-0.098090039	5.935874421
-0.097451689	5.935874421
-0.097770864	5.935874421
-0.097132514	5.935558488
-0.097451689	5.935874421
-0.097770864	5.935558488
-0.097451689	5.935874421
-0.097770864	5.935874421
-0.097770864	5.935874421
-0.097770864	5.935874421
-0.097770864	5.936506287
-0.097451689	5.936190354
-0.097132514	5.935558488
-0.096813339	5.936190354
-0.096174989	5.936190354
-0.096813339	5.935558488
-0.097451689	5.935874421
-0.096813339	5.935874421
-0.096813339	5.936190354
-0.096494164	5.935874421
-0.096813339	5.935874421
-0.096813339	5.936190354
-0.096494164	5.936506287
-0.096813339	5.935874421
-0.095855814	5.935558488
-0.096813339	5.935558488
-0.096174989	5.935558488
-0.097451689	5.935242555
-0.096494164	5.935874421
-0.097451689	5.935874421
-0.096494164	5.935558488
-0.096813339	5.935874421
-0.096813339	5.935558488
-0.096494164	5.935874421
-0.096494164	5.935874421
-0.096174989	5.935558488
-0.096494164	5.935558488
-0.095855814	5.934926622
-0.096494164	5.935242555
-0.096494164	5.935558488
-0.096494164	5.935242555
-0.096494164	5.934610689
-0.096813339	5.934926622
-0.095536639	5.935874421
-0.095536639	5.935558488
-0.095855814	5.935558488
-0.096494164	5.935558488
-0.096494164	5.935874421
-0.095536639	5.935874421
-0.096494164	5.935874421
-0.095855814	5.934926622
-0.095217464	5.935558488
-0.095536639	5.935558488
-0.096494164	5.935874421
-0.096174989	5.935874421
-0.096494164	5.935874421
-0.096494164	5.935558488
-0.095855814	5.935558488
-0.096174989	5.935874421
-0.095536639	5.936190354
-0.096174989	5.935558488
-0.095855814	5.935874421
-0.095855814	5.936190354
-0.096174989	5.935242555
-0.096174989	5.934926622
-0.095855814	5.935558488
-0.096174989	5.935558488
-0.096494164	5.935558488
-0.095217464	5.935242555
-0.095855814	5.934926622
-0.095536639	5.935558488
-0.096174989	5.934926622
-0.095536639	5.935558488
-0.095855814	5.934610689
-0.095217464	5.934610689
-0.095536639	5.934926622
-0.095536639	5.934610689
-0.095217464	5.933978823
-0.095217464	5.935242555
-0.095217464	5.934294756
-0.094898289	5.934926622
-0.095217464	5.934926622
-0.094898289	5.934610689
-0.095217464	5.933978823
-0.094898289	5.933662890
-0.095217464	5.933031024
-0.095536639	5.933662890
-0.095217464	5.933662890
-0.095217464	5.933662890
-0.095855814	5.934610689
-0.095217464	5.933662890
-0.095536639	5.934294756
-0.095217464	5.934294756
-0.094579114	5.934610689
-0.095217464	5.935242555
-0.095217464	5.934926622
-0.094898289	5.934610689
-0.095536639	5.934610689
-0.095536639	5.934294756
-0.095536639	5.934610689
-0.095217464	5.934926622
-0.095536639	5.934294756
-0.095217464	5.934610689
-0.095217464	5.933662890
-0.095217464	5.934610689
-0.095855814	5.933031024
-0.095217464	5.933031024
-0.095855814	5.933662890
-0.095217464	5.933978823
-0.095217464	5.933978823
-0.094898289	5.933662890
-0.094898289	5.933346957
-0.095217464	5.934610689
-0.095536639	5.933031024
-0.095217464	5.933031024
-0.095217464	5.933346957
-0.094579114	5.933346957
-0.094259939	5.933346957
