#Chart Recorder Data File Tue, Nov 14, 2017 12:19 PM
#CH1 (V)  	CH2 (V)  
-0.103196839	5.947563942
-0.103196839	5.946932076
-0.102877664	5.948195808
-0.103196839	5.947563942
-0.103516014	5.947879875
-0.103516014	5.948195808
-0.103196839	5.948195808
-0.102239314	5.947879875
-0.102239314	5.948195808
-0.102877664	5.948511741
-0.102558489	5.958937530
-0.102558489	5.959569396
-0.102239314	5.959253463
-0.102239314	5.958305664
-0.102558489	5.958621597
-0.102239314	5.959569396
-0.102239314	5.958621597
-0.102239314	5.958305664
-0.102239314	5.959253463
-0.101920139	5.958621597
-0.102558489	5.959253463
-0.101920139	5.966203989
-0.101600964	5.966519922
-0.101600964	5.967151788
-0.101920139	5.966835855
-0.101600964	5.966519922
-0.101920139	5.967467721
-0.101920139	5.966519922
-0.101920139	5.966203989
-0.101920139	5.966835855
-0.102239314	5.966203989
-0.103196839	5.971258917
-0.102877664	5.971574850
-0.102877664	5.971258917
-0.103196839	5.970627051
-0.102877664	5.971258917
-0.103196839	5.971258917
-0.102877664	5.970942984
-0.102877664	5.971258917
-0.102558489	5.970627051
-0.101920139	5.971258917
-0.101600964	5.975997912
-0.101281789	5.975366046
-0.101600964	5.975366046
-0.101600964	5.975997912
-0.101920139	5.975997912
-0.101600964	5.975997912
-0.101920139	5.975997912
-0.101920139	5.975681979
-0.102239314	5.975366046
-0.101600964	5.978209443
-0.100643439	5.978209443
-0.101281789	5.978841309
-0.101920139	5.978841309
-0.100962614	5.978525376
-0.101600964	5.978209443
-0.101281789	5.978525376
-0.101920139	5.977893510
-0.101281789	5.978209443
-0.101920139	5.978525376
-0.101600964	5.981052840
-0.101600964	5.980736907
-0.101600964	5.981368773
-0.102239314	5.980736907
-0.101920139	5.981684706
-0.101600964	5.981052840
-0.101600964	5.982000639
-0.102239314	5.980420974
-0.101600964	5.981368773
-0.101600964	5.980736907
-0.101920139	5.981052840
-0.101281789	5.982948438
-0.100643439	5.982948438
-0.100962614	5.982316572
-0.100643439	5.982948438
-0.101281789	5.983264371
-0.100962614	5.982632505
-0.100324264	5.982632505
-0.101281789	5.982316572
-0.100643439	5.982632505
-0.100962614	5.982000639
-0.100643439	5.983896237
-0.100324264	5.984212170
-0.100643439	5.983264371
-0.100962614	5.984528103
-0.101281789	5.984212170
-0.101600964	5.984212170
-0.100324264	5.983896237
-0.100643439	5.983896237
-0.100962614	5.983896237
-0.100643439	5.983896237
-0.100324264	5.984212170
-0.100005089	5.983264371
-0.100324264	5.982948438
-0.100643439	5.983896237
-0.100324264	5.983264371
-0.100005089	5.984212170
-0.100005089	5.983896237
-0.100324264	5.983896237
-0.100005089	5.983264371
-0.099685914	5.983580304
-0.100005089	5.984212170
-0.100324264	5.983264371
-0.100324264	5.983896237
-0.100005089	5.983896237
-0.099685914	5.983896237
-0.100005089	5.983896237
-0.100005089	5.983580304
-0.099685914	5.983264371
-0.100324264	5.983580304
-0.100005089	5.983896237
-0.099366739	5.982000639
-0.099685914	5.981684706
-0.100324264	5.981368773
-0.099366739	5.982000639
-0.099366739	5.982000639
-0.099047564	5.982000639
-0.100005089	5.981684706
-0.099685914	5.982000639
-0.099366739	5.981684706
-0.099366739	5.981368773
-0.098409214	5.982632505
-0.097770864	5.982632505
-0.098728389	5.982948438
-0.098090039	5.982632505
-0.098090039	5.982316572
-0.099047564	5.982948438
-0.098728389	5.982632505
-0.099047564	5.982316572
-0.098728389	5.982948438
-0.099366739	5.982316572
-0.098728389	5.982948438
-0.098728389	5.982632505
-0.098409214	5.982948438
-0.098728389	5.982632505
-0.099047564	5.982948438
-0.098728389	5.982632505
-0.099366739	5.982632505
-0.099366739	5.982948438
-0.099366739	5.982316572
-0.099047564	5.982948438
-0.098409214	5.981684706
-0.098728389	5.982948438
-0.098728389	5.982000639
-0.098409214	5.982948438
-0.098728389	5.982632505
-0.098409214	5.982632505
-0.098728389	5.981368773
-0.099047564	5.981684706
-0.099047564	5.982316572
-0.098090039	5.981052840
-0.098728389	5.981368773
-0.098090039	5.981368773
-0.098090039	5.981684706
-0.098090039	5.982316572
-0.098090039	5.982000639
-0.098409214	5.982000639
-0.099047564	5.982000639
-0.098090039	5.981684706
-0.098409214	5.981684706
-0.098409214	5.982000639
-0.098090039	5.981052840
-0.098728389	5.981052840
-0.098409214	5.980736907
-0.098409214	5.980105041
-0.098409214	5.981368773
-0.099047564	5.980420974
-0.098728389	5.980736907
-0.098728389	5.981052840
-0.098728389	5.981368773
-0.098728389	5.981052840
-0.097770864	5.981368773
-0.097451689	5.981052840
-0.097770864	5.980736907
-0.097451689	5.981052840
-0.097451689	5.981368773
-0.096813339	5.981368773
-0.096813339	5.981368773
-0.097451689	5.981684706
-0.097451689	5.981368773
-0.097132514	5.981368773
-0.098090039	5.980736907
-0.098409214	5.980420974
-0.098090039	5.981052840
-0.098409214	5.981052840
-0.097770864	5.981368773
-0.098090039	5.981368773
-0.097770864	5.981368773
-0.098409214	5.981684706
-0.099047564	5.981684706
-0.097770864	5.981052840
-0.098090039	5.981684706
-0.098090039	5.981368773
-0.097770864	5.981052840
-0.098090039	5.981368773
-0.098409214	5.981684706
-0.097451689	5.981684706
-0.098090039	5.981052840
-0.097770864	5.980736907
-0.098090039	5.981052840
-0.097132514	5.981684706
-0.096174989	5.981684706
-0.096494164	5.981684706
-0.096813339	5.981684706
-0.096174989	5.981684706
-0.096813339	5.981052840
-0.096494164	5.981368773
-0.096813339	5.981684706
-0.096174989	5.981684706
-0.096174989	5.981368773
-0.096494164	5.981368773
-0.097132514	5.982000639
-0.096494164	5.982000639
-0.096813339	5.981684706
-0.096494164	5.981684706
-0.096174989	5.982316572
-0.096494164	5.982000639
-0.096494164	5.981684706
-0.096813339	5.981684706
-0.096813339	5.982000639
-0.095536639	5.982000639
-0.096174989	5.981368773
-0.096494164	5.981684706
-0.096174989	5.981684706
-0.097132514	5.981684706
-0.096174989	5.981368773
-0.096494164	5.981052840
-0.096494164	5.982000639
-0.096494164	5.981684706
-0.096494164	5.981368773
-0.096174989	5.981368773
-0.095855814	5.978841309
-0.096174989	5.979157242
-0.096174989	5.979789108
-0.095536639	5.979789108
-0.095855814	5.979473175
-0.095217464	5.979473175
-0.095217464	5.979473175
-0.095217464	5.979473175
-0.095855814	5.978841309
-0.095855814	5.979473175
-0.095217464	5.978841309
-0.095217464	5.979157242
-0.095536639	5.978209443
-0.095217464	5.978841309
-0.095217464	5.978209443
-0.095536639	5.979157242
-0.095536639	5.979157242
-0.096494164	5.979789108
-0.095855814	5.979473175
-0.095217464	5.978209443
-0.095217464	5.977261644
-0.095217464	5.977893510
-0.094579114	5.978209443
-0.095536639	5.977893510
-0.095217464	5.978841309
-0.095217464	5.977893510
-0.094579114	5.978841309
-0.095855814	5.978209443
-0.095855814	5.978209443
-0.095217464	5.978209443
-0.094898289	5.979157242
-0.095217464	5.979473175
-0.095217464	5.979157242
-0.095217464	5.979157242
-0.094898289	5.978841309
-0.094898289	5.978841309
-0.095217464	5.978525376
-0.095217464	5.978841309
-0.094898289	5.978841309
-0.094898289	5.979157242
-0.095217464	5.978841309
-0.095217464	5.978841309
-0.095217464	5.979157242
-0.094259939	5.979157242
-0.094579114	5.978841309
-0.094898289	5.978841309
-0.094579114	5.978841309
-0.093621589	5.979157242
-0.094579114	5.978525376
-0.095217464	5.979157242
-0.094898289	5.978525376
-0.094259939	5.979789108
-0.094579114	5.978525376
-0.094898289	5.978841309
-0.094579114	5.978841309
-0.093940764	5.979473175
-0.094579114	5.979157242
-0.094898289	5.978841309
-0.093621589	5.979157242
-0.093940764	5.978209443
-0.093302414	5.978841309
-0.093621589	5.978841309
-0.093621589	5.979157242
-0.093940764	5.978525376
-0.093940764	5.979157242
-0.094259939	5.979157242
-0.093302414	5.979157242
-0.093302414	5.978841309
-0.093940764	5.979157242
-0.093940764	5.980105041
-0.093621589	5.979473175
-0.093940764	5.979789108
-0.093940764	5.979157242
-0.093621589	5.979157242
-0.093621589	5.979473175
-0.094259939	5.979789108
-0.092983239	5.979473175
-0.093621589	5.980105041
-0.093621589	5.979789108
-0.093621589	5.980420974
-0.093621589	5.978209443
-0.092983239	5.977577577
-0.093621589	5.977261644
-0.093621589	5.976945711
-0.093302414	5.977577577
-0.093621589	5.977261644
-0.093621589	5.977261644
-0.093302414	5.977577577
-0.092664064	5.977577577
-0.093302414	5.977577577
-0.093940764	5.976629778
-0.093621589	5.976313845
-0.093302414	5.976313845
-0.092983239	5.976313845
-0.093621589	5.976629778
-0.092983239	5.976945711
-0.093621589	5.977261644
-0.093302414	5.976629778
-0.092664064	5.976313845
-0.092344889	5.975997912
-0.093302414	5.976313845
-0.093940764	5.975997912
-0.093940764	5.975997912
-0.093621589	5.976313845
-0.093940764	5.975997912
-0.093940764	5.975681979
-0.093621589	5.975681979
-0.093621589	5.976313845
-0.092983239	5.976313845
-0.092983239	5.976313845
-0.092983239	5.976313845
-0.092983239	5.976629778
-0.093302414	5.976313845
-0.092983239	5.976629778
-0.092664064	5.976313845
-0.093621589	5.976313845
-0.093302414	5.975997912
-0.093621589	5.976313845
-0.093302414	5.975997912
-0.093302414	5.976313845
-0.092664064	5.976629778
-0.092983239	5.976629778
-0.092664064	5.977261644
-0.092983239	5.976313845
-0.092664064	5.976313845
-0.092664064	5.976313845
-0.092344889	5.976313845
-0.092025714	5.975997912
-0.092983239	5.976629778
-0.092025714	5.976313845
-0.091387364	5.975997912
-0.092664064	5.976313845
-0.092664064	5.975997912
-0.092664064	5.976313845
-0.092344889	5.975997912
-0.092025714	5.975681979
-0.092025714	5.975681979
-0.092664064	5.975997912
-0.092344889	5.975681979
-0.092344889	5.975366046
-0.091706539	5.975997912
-0.091706539	5.976313845
-0.092025714	5.976313845
-0.092025714	5.976313845
-0.092344889	5.975997912
-0.092344889	5.976313845
-0.092664064	5.975997912
-0.092025714	5.976313845
-0.092344889	5.976313845
-0.092664064	5.975997912
-0.091706539	5.975366046
-0.091068189	5.975366046
-0.091068189	5.975366046
-0.091068189	5.975366046
-0.091387364	5.975050113
-0.091706539	5.974418247
-0.091706539	5.975366046
-0.091387364	5.974418247
-0.091706539	5.974734180
-0.091068189	5.975366046
-0.091068189	5.975366046
-0.090429839	5.975681979
-0.090749014	5.975366046
-0.091068189	5.975681979
-0.090749014	5.975366046
-0.090110664	5.975366046
-0.090749014	5.975997912
-0.091387364	5.975681979
-0.091068189	5.974418247
-0.091387364	5.974734180
-0.090429839	5.975050113
-0.090110664	5.974734180
-0.090749014	5.974734180
-0.091068189	5.974418247
-0.090749014	5.975366046
-0.091068189	5.975681979
-0.090429839	5.974734180
-0.090429839	5.975050113
-0.091068189	5.974734180
-0.091068189	5.974418247
-0.090749014	5.975366046
-0.090110664	5.975050113
