#x dx y dy
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0634137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.046 0.001 0.0624137614 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
94.152 0.001 0.0625961768 0.015
