#x dx y dy
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.5 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.046 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
94.152 0.001 0.501 0.015
